time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
7.0,48,726.1,822.17,2.0,557.12,803.34,2.0,170.03
7.0,49,1958.33,1547.2,2.0,1865.56,2055.28,2.0,516.48
7.0,50,600.73,-42.76,2.0,223.79,-34.69,2.0,377.03
7.0,51,1737.41,303.6,2.0,1943.52,197.66,2.0,231.74
7.0,53,800.63,41.63,2.0,821.16,287.22,2.0,246.44
7.0,54,1052.16,328.07,2.0,1118.81,-206.69,2.0,538.9
7.0,55,266.57,1336.99,2.0,287.32,1253.96,2.0,85.59
7.0,56,2149.03,144.71,2.0,2183.24,-58.99,2.0,206.55
7.0,58,411.12,2011.66,2.0,230.56,2297.21,2.0,337.85
7.0,59,790.27,-232.12,2.0,744.92,-340.0,2.0,117.02
7.0,60,1415.34,519.93,2.0,1377.79,170.41,2.0,351.53
7.0,61,-86.1,610.54,2.0,-279.9,1021.77,2.0,454.6
7.0,62,688.33,1477.71,2.0,649.2,1660.8,2.0,187.23
7.0,63,1162.73,1894.14,2.0,1034.49,2129.04,2.0,267.62
7.0,65,1865.52,2120.01,2.0,2084.16,2068.71,2.0,224.58
7.0,66,869.56,794.09,2.0,806.24,625.69,2.0,179.91
7.0,67,1406.37,1628.53,2.0,1429.71,1594.15,2.0,41.56
7.0,68,379.35,869.56,2.0,328.9,795.23,2.0,89.83
7.0,69,1020.8,1687.62,2.0,548.95,1606.29,2.0,478.81
7.0,70,1782.98,1946.57,2.0,1450.26,2263.75,2.0,459.68
7.0,71,480.43,719.81,2.0,675.7,655.94,2.0,205.45
7.0,73,362.59,1628.77,2.0,342.25,1839.34,2.0,211.55
7.0,74,839.03,419.91,2.0,727.33,347.92,2.0,132.89
7.0,75,1861.9,2220.59,2.0,1457.33,2322.84,2.0,417.3
7.0,76,730.18,1866.38,2.0,267.12,2091.28,2.0,514.78
7.0,77,1610.12,46.9,2.0,1514.8,-255.82,2.0,317.38
7.0,78,1432.67,1896.61,2.0,1323.05,1766.87,2.0,169.85
7.0,79,-225.73,471.3,2.0,-500.0,813.84,2.0,438.81
7.0,80,2102.46,365.08,2.0,2038.68,351.35,2.0,65.24
7.0,81,1003.32,1213.94,2.0,851.7,1430.95,2.0,264.73
7.0,82,1025.53,1359.21,2.0,989.67,1262.81,2.0,102.86
7.0,83,1982.84,1612.5,2.0,1851.29,1246.49,2.0,388.93
7.0,84,1099.95,1620.0,2.0,1373.57,1704.83,2.0,286.47
7.0,85,1067.36,2025.81,2.0,1295.75,2139.77,2.0,255.24
7.0,86,2019.04,-41.7,2.0,2139.31,-500.0,2.0,473.81
7.0,88,978.02,1982.95,2.0,546.3,2282.19,2.0,525.29
7.0,89,-51.3,401.77,2.0,79.63,314.18,2.0,157.53
7.0,90,1666.47,1661.1,2.0,1841.96,1714.11,2.0,183.32
7.0,92,-32.19,1566.97,2.0,-65.77,1401.35,2.0,169.0
7.0,93,1587.31,1006.45,2.0,1613.44,1061.87,2.0,61.27
7.0,94,650.96,1459.15,2.0,584.7,1265.01,2.0,205.14
7.0,95,698.33,1795.39,2.0,513.42,1742.64,2.0,192.28
7.0,96,669.31,1527.97,2.0,468.37,1337.61,2.0,276.8
7.0,97,88.2,677.68,2.0,-168.9,729.91,2.0,262.35
7.0,98,303.98,2018.88,2.0,31.04,1729.37,2.0,397.89
7.0,99,670.62,855.96,2.0,791.13,610.48,2.0,273.47
7.0,101,502.23,1142.8,2.0,255.12,1066.76,2.0,258.54
7.0,102,-34.35,960.78,2.0,-83.37,690.49,2.0,274.7
7.0,103,1702.29,1659.28,2.0,1839.63,1777.63,2.0,181.3
7.0,104,1839.0,873.74,2.0,1874.74,697.57,2.0,179.75
7.0,106,1201.12,2186.91,2.0,1406.69,2313.89,2.0,241.63
7.0,108,1883.77,75.7,2.0,1812.82,-139.28,2.0,226.38
7.0,109,1634.35,-54.2,2.0,1972.55,-500.0,2.0,559.57
