timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
7.0,68,328.9,795.23,2.0,379.35,869.56,2.0,-62.403,001-01-0000001,0.83417
7.0,69,548.95,1606.29,2.0,1020.8,1687.62,2.0,-75.843,001-01-0000001,0.738251
7.0,70,1450.26,2263.75,2.0,1782.98,1946.57,2.0,-90.662,001-01-0000001,0.293648
7.0,71,675.7,655.94,2.0,480.43,719.81,2.0,-59.435,001-01-0000001,0.941596
7.0,73,342.25,1839.34,2.0,362.59,1628.77,2.0,-63.394,001-01-0000001,0.993627
7.0,74,727.33,347.92,2.0,839.03,419.91,2.0,-58.385,001-01-0000001,0.914988
7.0,75,1457.33,2322.84,2.0,1861.9,2220.59,2.0,-86.216,001-01-0000001,0.60225
7.0,76,267.12,2091.28,2.0,730.18,1866.38,2.0,-61.207,001-01-0000001,0.998646
7.0,77,1514.8,-255.82,2.0,1610.12,46.9,2.0,-76.904,001-01-0000001,0.593423
7.0,78,1323.05,1766.87,2.0,1432.67,1896.61,2.0,-66.296,001-01-0000001,0.993162
7.0,79,-500.0,813.84,2.0,-225.73,471.3,2.0,-72.126,001-01-0000001,0.402109
7.0,80,2038.68,351.35,2.0,2102.46,365.08,2.0,-63.928,001-01-0000001,0.995703
7.0,81,851.7,1430.95,2.0,1003.32,1213.94,2.0,-83.711,001-01-0000001,0.238528
7.0,82,989.67,1262.81,2.0,1025.53,1359.21,2.0,-75.073,001-01-0000001,0.731087
7.0,83,1851.29,1246.49,2.0,1982.84,1612.5,2.0,-69.515,001-01-0000001,0.981437
7.0,84,1373.57,1704.83,2.0,1099.95,1620.0,2.0,-77.273,001-01-0000001,0.846692
7.0,85,1295.75,2139.77,2.0,1067.36,2025.81,2.0,-78.657,001-01-0000001,0.870979
7.0,86,2139.31,-500.0,2.0,2019.04,-41.7,2.0,-70.972,001-01-0000001,0.968959
7.0,88,546.3,2282.19,2.0,978.02,1982.95,2.0,-68.121,001-01-0000001,0.990931
7.0,89,79.63,314.18,2.0,-51.3,401.77,2.0,-38.914,001-01-0000001,0.975821
7.0,90,1841.96,1714.11,2.0,1666.47,1661.1,2.0,-79.355,001-01-0000001,0.852794
7.0,92,-65.77,1401.35,2.0,-32.19,1566.97,2.0,-57.294,001-01-0000001,0.996138
7.0,93,1613.44,1061.87,2.0,1587.31,1006.45,2.0,-81.603,001-01-0000001,0.534149
7.0,94,584.7,1265.01,2.0,650.96,1459.15,2.0,-79.812,001-01-0000001,0.301556
7.0,95,513.42,1742.64,2.0,698.33,1795.39,2.0,-71.639,001-01-0000001,0.915117
7.0,96,468.37,1337.61,2.0,669.31,1527.97,2.0,-61.084,001-01-0000001,0.986545
7.0,97,-168.9,729.91,2.0,88.2,677.68,2.0,-54.266,001-01-0000001,0.960416
7.0,98,31.04,1729.37,2.0,303.98,2018.88,2.0,-68.534,001-01-0000001,0.953144
7.0,99,791.13,610.48,2.0,670.62,855.96,2.0,-66.985,001-01-0000001,0.74794
7.0,101,255.12,1066.76,2.0,502.23,1142.8,2.0,-66.513,001-01-0000001,0.828909
7.0,102,-83.37,690.49,2.0,-34.35,960.78,2.0,-55.704,001-01-0000001,0.920448
