time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000025,N,-81.108,14
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000001,S,-48.396,2
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000002,N,-58.667,7
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000003,N,-74.717,13
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000004,N,-90.731,20
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000005,N,-102.491,26
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000006,N,-84.959,5
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000007,N,-78.601,8
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000008,N,-93.144,14
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000009,N,-68.783,20
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000010,N,-99.175,26
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000011,N,-85.274,11
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000012,N,-94.626,13
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000013,N,-89.164,17
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000014,N,-96.694,23
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000015,N,-81.175,28
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000016,N,-85.905,18
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000017,N,-88.477,19
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000018,N,-92.011,22
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000019,N,-87.597,26
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000020,N,-100.376,31
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000021,N,-86.991,24
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000022,N,-80.057,25
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000023,N,-90.827,27
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000024,N,-98.529,31
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,001-01-0000025,N,-106.331,35
1.0,14,-67.12,1376.18,2.0,-1.67,1259.46,2.0,001-01-0000001,N,-57.18,12
1.0,14,-67.12,1376.18,2.0,-1.67,1259.46,2.0,001-01-0000002,N,-76.874,17
