time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,9,562.911,645.512,2.000,14,001-01-0000014,N,-58.326,-3.447,-22.505,13
1.000,9,562.911,645.512,2.000,15,001-01-0000015,N,-77.192,-18.879,-30.852,19
1.000,9,562.911,645.512,2.000,16,001-01-0000016,N,-86.268,-27.334,-40.000,13
1.000,9,562.911,645.512,2.000,17,001-01-0000017,N,-79.364,-19.296,-37.447,11
1.000,9,562.911,645.512,2.000,18,001-01-0000018,N,-82.515,-26.339,-40.000,12
1.000,9,562.911,645.512,2.000,19,001-01-0000019,N,-72.333,-14.186,-32.770,16
1.000,9,562.911,645.512,2.000,20,001-01-0000020,N,-86.358,-28.442,-40.000,21
1.000,9,562.911,645.512,2.000,21,001-01-0000021,N,-78.902,-18.697,-34.362,19
1.000,9,562.911,645.512,2.000,22,001-01-0000022,N,-84.209,-28.898,-39.751,17
1.000,9,562.911,645.512,2.000,23,001-01-0000023,N,-88.761,-32.892,-40.000,18
1.000,9,562.911,645.512,2.000,24,001-01-0000024,N,-87.638,-32.374,-40.000,21
1.000,9,562.911,645.512,2.000,25,001-01-0000025,N,-96.468,-39.613,-40.000,25
1.000,10,747.944,2211.363,2.000,1,001-01-0000001,N,-77.892,-12.207,-19.716,30
1.000,10,747.944,2211.363,2.000,2,001-01-0000002,N,-99.751,-28.723,-40.000,28
1.000,10,747.944,2211.363,2.000,3,001-01-0000003,N,-86.477,-13.941,-30.028,28
1.000,10,747.944,2211.363,2.000,4,001-01-0000004,N,-99.110,-27.508,-40.000,30
1.000,10,747.944,2211.363,2.000,5,001-01-0000005,N,-110.536,-40.000,-40.000,33
1.000,10,747.944,2211.363,2.000,6,001-01-0000006,N,-86.695,-18.799,-32.340,24
1.000,10,747.944,2211.363,2.000,7,001-01-0000007,N,-89.166,-17.338,-31.732,22
1.000,10,747.944,2211.363,2.000,8,001-01-0000008,N,-76.506,-6.743,-18.742,22
1.000,10,747.944,2211.363,2.000,9,001-01-0000009,N,-104.594,-34.437,-40.000,24
